State/UT,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Last Updated
Assam,Chirang,15.2,Patchy rain nearby,85,3.6,2025-01-23 23:30:00
Assam,Darrang,18.9,Clear,64,3.6,2025-01-23 23:00:00
Assam,Dhemaji,18.2,Mist,88,5.4,2025-01-23 23:00:00
Assam,Dhubri,17.3,Clear,60,5.8,2025-01-23 23:00:00
Bihar,Araria,15.8,Clear,52,5.4,2025-01-23 23:00:00
Bihar,Arwal,15.2,Mist,94,6.8,2025-01-23 23:00:00
Bihar,Aurangabad,21.3,Mist,73,12.2,2025-01-23 23:00:00
Bihar,Banka,15.7,Clear,52,3.6,2025-01-23 23:00:00
Bihar,Begusarai,14.5,Clear,57,5.0,2025-01-23 23:00:00
Bihar,Bhagalpur,15.3,Clear,55,3.6,2025-01-23 23:00:00
Bihar,Bhojpur,14.2,Clear,47,9.4,2025-01-23 23:00:00
Bihar,Buxar,15.3,Clear,62,7.2,2025-01-23 23:00:00
Bihar,Darbhanga,14.8,Clear,54,7.6,2025-01-23 23:00:00
Bihar,East Champaran,19.4,Clear,86,3.6,2025-01-23 23:00:00
Chhattisgarh,Balod,18.4,Clear,28,4.7,2025-01-23 23:00:00
Chhattisgarh,Baloda Bazar,19.7,Clear,30,4.0,2025-01-23 23:00:00
Chhattisgarh,Balrampur,15.7,Clear,56,13.0,2025-01-23 23:00:00
Chhattisgarh,Bastar,18.2,Clear,32,3.6,2025-01-23 23:00:00
Chhattisgarh,Bemetara,19.7,Clear,30,4.0,2025-01-23 23:00:00
Chhattisgarh,Bijapur,24.4,Clear,29,14.4,2025-01-23 23:00:00
Chhattisgarh,Bilaspur,18.1,Clear,34,5.4,2025-01-23 23:00:00
Chhattisgarh,Dantewada,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Chhattisgarh,Dhamtari,18.4,Clear,28,4.7,2025-01-23 23:00:00
Chhattisgarh,Durg,20.6,Clear,28,4.3,2025-01-23 23:00:00
Goa,North Goa,24.6,Clear,66,13.3,2025-01-23 23:00:00
Goa,South Goa,24.6,Clear,66,13.3,2025-01-23 23:00:00
Gujarat,Ahmedabad,21.4,Overcast,40,16.6,2025-01-23 23:00:00
Gujarat,Amreli,18.8,Clear,37,18.7,2025-01-23 23:00:00
Gujarat,Anand,18.1,Clear,33,14.0,2025-01-23 23:00:00
Gujarat,Aravalli,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Gujarat,Banaskantha,15.5,Clear,36,13.7,2025-01-23 23:00:00
Gujarat,Bharuch,20.2,Clear,35,13.0,2025-01-23 23:00:00
Gujarat,Bhavnagar,20.2,Clear,43,21.2,2025-01-23 23:00:00
Gujarat,Botad,19.6,Clear,34,22.3,2025-01-23 23:00:00
Gujarat,Chhota Udaipur,14.7,Clear,37,8.6,2025-01-23 23:00:00
Gujarat,Dahod,18.9,Clear,36,10.8,2025-01-23 23:00:00
Haryana,Ambala,12.3,Clear,42,12.6,2025-01-23 23:00:00
Haryana,Bhiwani,14.1,Clear,37,8.3,2025-01-23 23:00:00
Haryana,Charkhi Dadri,14.1,Clear,37,8.3,2025-01-23 23:00:00
Haryana,Faridabad,15.0,Mist,72,9.7,2025-01-23 23:00:00
Haryana,Fatehabad,13.4,Clear,40,12.2,2025-01-23 23:00:00
Haryana,Gurugram,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Haryana,Hisar,14.4,Clear,36,12.6,2025-01-23 23:00:00
Haryana,Jhajjar,15.0,Mist,72,10.1,2025-01-23 23:00:00
Haryana,Jind,13.0,Clear,38,11.9,2025-01-23 23:00:00
Haryana,Kaithal,11.9,Clear,41,9.4,2025-01-23 23:00:00
Himachal Pradesh,Bilaspur,18.1,Clear,34,5.4,2025-01-23 23:00:00
Himachal Pradesh,Chamba,3.1,Clear,38,14.0,2025-01-23 23:00:00
Himachal Pradesh,Hamirpur,17.2,Clear,64,10.4,2025-01-23 23:00:00
Himachal Pradesh,Kangra,7.6,Clear,42,8.3,2025-01-23 23:00:00
Himachal Pradesh,Kinnaur,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Himachal Pradesh,Kullu,26.6,Clear,13,15.5,2025-01-23 19:30:00
Himachal Pradesh,Lahaul and Spiti,-27.3,Mist,96,4.0,2025-01-23 23:00:00
Himachal Pradesh,Mandi,7.5,Clear,48,8.3,2025-01-23 23:00:00
Himachal Pradesh,Shimla,8.8,Clear,56,7.6,2025-01-23 23:00:00
Himachal Pradesh,Sirmaur,17.4,Clear,58,6.8,2025-01-23 23:00:00
Jharkhand,Bokaro,18.0,Clear,42,4.3,2025-01-23 23:00:00
Jharkhand,Chatra,15.4,Clear,54,3.6,2025-01-23 23:00:00
Jharkhand,Deoghar,17.4,Clear,46,3.6,2025-01-23 23:00:00
Jharkhand,Dhanbad,19.0,Clear,40,6.1,2025-01-23 23:00:00
Jharkhand,Dumka,17.2,Clear,44,3.6,2025-01-23 23:00:00
Jharkhand,East Singhbhum,19.4,Clear,86,3.6,2025-01-23 23:00:00
Jharkhand,Garhwa,17.2,Clear,54,5.8,2025-01-23 23:00:00
Jharkhand,Giridih,18.0,Clear,43,4.0,2025-01-23 23:00:00
Jharkhand,Godda,15.7,Clear,52,3.6,2025-01-23 23:00:00
Jharkhand,Gumla,16.3,Clear,48,6.5,2025-01-23 23:15:00
Karnataka,Bagalkot,23.4,Clear,35,13.3,2025-01-23 23:00:00
Karnataka,Ballari,22.4,Clear,59,17.3,2025-01-23 23:00:00
Karnataka,Belagavi,22.3,Clear,47,9.0,2025-01-23 23:00:00
Karnataka,Bengaluru Rural,20.2,Mist,78,14.0,2025-01-23 23:00:00
Karnataka,Bengaluru Urban,20.2,Mist,78,14.0,2025-01-23 23:00:00
Karnataka,Bidar,21.1,Clear,48,13.0,2025-01-23 23:00:00
Karnataka,Chamarajanagar,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Karnataka,Chikkaballapur,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Karnataka,Chikkamagaluru,18.1,Clear,56,3.6,2025-01-23 23:00:00
Karnataka,Chitradurga,22.3,Clear,47,13.7,2025-01-23 23:00:00
Kerala,Alappuzha,26.3,Clear,75,9.4,2025-01-23 23:00:00
Kerala,Ernakulam,27.3,Mist,66,5.8,2025-01-23 23:00:00
Kerala,Idukki,19.7,Partly Cloudy,92,4.0,2025-01-23 23:00:00
Kerala,Kannur,24.0,Clear,86,6.5,2025-01-23 23:00:00
Kerala,Kasaragod,26.2,Clear,74,5.8,2025-01-23 23:00:00
Kerala,Kollam,26.4,Clear,70,11.2,2025-01-23 23:00:00
Kerala,Kottayam,23.2,Clear,89,4.0,2025-01-23 23:00:00
Kerala,Kozhikode,26.2,Mist,79,5.4,2025-01-23 23:00:00
Kerala,Malappuram,26.2,Mist,79,3.6,2025-01-23 23:00:00
Kerala,Palakkad,24.1,Mist,69,11.2,2025-01-23 23:00:00
Madhya Pradesh,Alirajpur,19.6,Clear,36,5.8,2025-01-23 23:15:00
Madhya Pradesh,Anuppur,17.2,Clear,46,4.3,2025-01-23 23:00:00
Madhya Pradesh,Ashoknagar,16.6,Clear,63,15.5,2025-01-23 23:00:00
Madhya Pradesh,Balaghat,19.6,Clear,34,5.8,2025-01-23 23:00:00
Madhya Pradesh,Barwani,20.3,Clear,35,10.8,2025-01-23 23:15:00
Madhya Pradesh,Betul,19.1,Clear,47,4.7,2025-01-23 23:00:00
Madhya Pradesh,Bhind,16.8,Partly Cloudy,60,14.4,2025-01-23 23:00:00
Madhya Pradesh,Bhopal,16.9,Clear,61,13.0,2025-01-23 23:00:00
Madhya Pradesh,Burhanpur,20.8,Clear,42,9.4,2025-01-23 23:00:00
Madhya Pradesh,Chhatarpur,17.7,Clear,61,10.4,2025-01-23 23:15:00
Maharashtra,Ahmednagar,22.8,Clear,27,9.0,2025-01-23 23:00:00
Maharashtra,Akola,23.1,Clear,30,6.5,2025-01-23 23:00:00
Maharashtra,Amravati,22.8,Clear,30,8.3,2025-01-23 23:00:00
Maharashtra,Aurangabad,21.3,Mist,73,12.2,2025-01-23 23:00:00
Maharashtra,Beed,13.2,Clear,44,3.6,2025-01-23 21:00:00
Maharashtra,Bhandara,21.7,Clear,30,4.0,2025-01-23 23:00:00
Maharashtra,Buldhana,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Maharashtra,Chandrapur,22.3,Clear,38,3.6,2025-01-23 23:00:00
Maharashtra,Dhule,22.8,Clear,36,13.3,2025-01-23 23:00:00
Maharashtra,Gadchiroli,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Manipur,Bishnupur,19.0,Mist,88,5.4,2025-01-23 23:15:00
Manipur,Churachandpur,8.5,Clear,71,3.6,2025-01-23 23:00:00
Manipur,Imphal East,7.5,Clear,65,5.0,2025-01-23 23:00:00
Manipur,Imphal West,7.5,Clear,65,5.0,2025-01-23 23:00:00
Manipur,Jiribam,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Manipur,Kakching,7.8,Clear,68,4.3,2025-01-23 23:00:00
Manipur,Kamjong,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Manipur,Kangpokpi,7.5,Clear,65,5.0,2025-01-23 23:00:00
Manipur,Noney,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Manipur,Pherzawl,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Meghalaya,East Garo Hills,23.6,Light rain shower,92,3.6,2025-01-24 01:45:00
Meghalaya,East Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Meghalaya,Jaintia Hills,20.2,Partly cloudy,78,10.8,2025-01-23 23:00:00
Meghalaya,Ri Bhoi,16.4,Clear,26,8.3,2025-01-23 22:30:00
Meghalaya,South Garo Hills,29.2,Mist,23,16.2,2025-01-23 18:30:00
Meghalaya,South Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Meghalaya,West Garo Hills,9.7,Clear,21,6.5,2025-01-23 22:30:00
Meghalaya,West Khasi Hills,-0.7,Clear,80,18.4,2025-01-23 22:30:00
Mizoram,Aizawl,13.2,Clear,61,4.0,2025-01-23 23:15:00
Mizoram,Champhai,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Mizoram,Hnahthial,9.0,Clear,34,6.5,2025-01-24 00:00:00
Mizoram,Kolasib,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Mizoram,Lawngtlai,11.7,Clear,48,4.7,2025-01-23 23:00:00
Mizoram,Lunglei,11.5,Clear,52,5.8,2025-01-23 23:00:00
Mizoram,Mamit,8.9,Clear,61,4.0,2025-01-23 23:15:00
Mizoram,Saitual,8.9,Clear,61,4.0,2025-01-23 23:00:00
Mizoram,Serchhip,11.9,Clear,52,4.0,2025-01-23 23:00:00
Nagaland,Dimapur,12.7,Clear,63,4.3,2025-01-23 23:00:00
Nagaland,Kiphire,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Nagaland,Kohima,8.7,Clear,52,5.0,2025-01-23 23:00:00
Nagaland,Longleng,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Nagaland,Mokokchung,12.8,Clear,81,5.8,2025-01-23 23:15:00
Nagaland,Mon,16.1,Patchy rain nearby,78,3.6,2025-01-23 23:00:00
Nagaland,Peren,6.2,Partly cloudy,75,35.3,2025-01-23 18:45:00
Nagaland,Phek,7.0,Clear,93,3.6,2025-01-23 23:15:00
Nagaland,Tuensang,6.8,Mist,97,3.6,2025-01-23 23:00:00
Nagaland,Zunheboto,9.2,Clear,88,4.7,2025-01-23 23:00:00
Odisha,Angul,18.7,Clear,54,4.3,2025-01-23 23:00:00
Odisha,Balangir,18.8,Clear,33,5.0,2025-01-23 23:15:00
Odisha,Bargarh,21.6,Clear,28,3.6,2025-01-23 23:00:00
Odisha,Bhadrak,20.4,Clear,88,5.8,2025-01-23 23:00:00
Odisha,Boudh,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Odisha,Cuttack,21.3,Mist,94,6.8,2025-01-23 23:00:00
Odisha,Deogarh,16.9,Clear,30,3.6,2025-01-23 23:15:00
Odisha,Dhenkanal,21.3,Mist,94,6.8,2025-01-23 23:00:00
Odisha,Gajapati,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Odisha,Ganjam,19.5,Clear,82,4.3,2025-01-23 23:00:00
Punjab,Amritsar,10.3,Mist,82,9.0,2025-01-23 23:00:00
Punjab,Barnala,10.9,Clear,37,8.6,2025-01-23 23:15:00
Punjab,Bathinda,27.0,Sunny,61,3.6,2025-01-23 11:30:00
Punjab,Faridkot,11.6,Clear,32,11.2,2025-01-23 23:15:00
Punjab,Fatehgarh Sahib,11.0,Clear,42,8.6,2025-01-23 23:15:00
Punjab,Fazilka,13.0,Clear,28,10.4,2025-01-23 23:15:00
Punjab,Ferozepur,11.4,Clear,32,10.1,2025-01-23 23:00:00
Punjab,Gurdaspur,10.4,Clear,41,3.6,2025-01-23 23:00:00
Punjab,Hoshiarpur,11.1,Clear,43,5.0,2025-01-23 23:15:00
Punjab,Jalandhar,10.6,Clear,38,6.8,2025-01-23 23:15:00
Rajasthan,Ajmer,15.3,Clear,35,11.2,2025-01-23 23:15:00
Rajasthan,Alwar,14.1,Clear,43,8.6,2025-01-23 23:15:00
Rajasthan,Banswara,18.3,Clear,41,13.0,2025-01-23 23:15:00
Rajasthan,Baran,17.0,Clear,67,11.9,2025-01-23 23:15:00
Rajasthan,Barmer,15.9,Clear,29,15.8,2025-01-23 23:15:00
Rajasthan,Bhilwara,14.2,Clear,33,14.0,2025-01-23 23:15:00
Rajasthan,Bikaner,16.4,Clear,33,11.9,2025-01-23 23:00:00
Rajasthan,Bundi,15.2,Clear,35,10.4,2025-01-23 23:15:00
Rajasthan,Chittorgarh,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Rajasthan,Churu,17.1,Clear,32,12.2,2025-01-23 23:15:00
Sikkim,East Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Sikkim,North Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Sikkim,South Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Sikkim,West Sikkim,7.1,Clear,84,3.6,2025-01-23 23:15:00
Tamil Nadu,Ariyalur,24.3,Mist,89,10.1,2025-01-23 23:15:00
Tamil Nadu,Chengalpattu,25.2,Mist,79,6.8,2025-01-23 23:15:00
Tamil Nadu,Chennai,25.2,Mist,79,12.6,2025-01-23 23:15:00
Tamil Nadu,Coimbatore,24.4,Mist,69,8.6,2025-01-23 23:15:00
Tamil Nadu,Cuddalore,24.3,Partly Cloudy,74,15.1,2025-01-23 23:15:00
Tamil Nadu,Dharmapuri,18.7,Clear,83,7.2,2025-01-23 23:15:00
Tamil Nadu,Dindigul,24.2,Mist,89,5.8,2025-01-23 23:15:00
Tamil Nadu,Erode,22.4,Clear,75,11.5,2025-01-23 23:15:00
Tamil Nadu,Kallakurichi,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Tamil Nadu,Kanchipuram,25.2,Mist,79,7.6,2025-01-23 23:15:00
Telangana,Adilabad,22.0,Clear,33,4.7,2025-01-23 23:15:00
Telangana,Hyderabad,20.4,Mist,88,11.9,2025-01-23 23:00:00
Telangana,Jagtial,21.6,Clear,43,9.0,2025-01-23 23:15:00
Telangana,Jangaon,23.4,Mist,73,11.2,2025-01-23 23:15:00
Telangana,Jayashankar Bhupalapally,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Telangana,Jogulamba Gadwal,22.5,Clear,58,12.6,2025-01-23 23:15:00
Telangana,Kamareddy,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Telangana,Karimnagar,21.6,Clear,46,7.2,2025-01-23 23:15:00
Telangana,Khammam,19.0,Clear,85,10.8,2025-01-23 23:15:00
Telangana,Komaram Bheem Asifabad,22.2,Clear,33,6.5,2025-01-23 23:15:00
Tripura,Dhalai,13.2,Clear,69,3.6,2025-01-23 23:15:00
Tripura,Khowai,14.3,Clear,64,3.6,2025-01-23 23:30:00
Tripura,North Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Tripura,Sepahijala,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Tripura,South Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Tripura,Unakoti,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Tripura,West Tripura,15.4,Clear,54,5.0,2025-01-23 23:15:00
Uttar Pradesh,Agra,15.0,Clear,56,11.9,2025-01-23 23:15:00
Uttar Pradesh,Aligarh,15.8,Clear,43,11.2,2025-01-23 23:15:00
Uttar Pradesh,Allahabad,17.3,Partly Cloudy,51,10.8,2025-01-23 23:15:00
Uttar Pradesh,Ambedkar Nagar,16.6,Clear,52,6.1,2025-01-23 23:15:00
Uttar Pradesh,Amethi,16.0,Clear,54,13.3,2025-01-23 23:15:00
Uttar Pradesh,Amroha,13.9,Clear,38,14.0,2025-01-23 23:15:00
Uttar Pradesh,Auraiya,16.0,Clear,65,12.2,2025-01-23 23:15:00
Uttar Pradesh,Azamgarh,15.5,Clear,54,7.9,2025-01-23 23:15:00
Uttar Pradesh,Baghpat,15.3,Mist,72,11.2,2025-01-23 23:15:00
Uttar Pradesh,Bahraich,16.0,Clear,60,13.3,2025-01-23 23:15:00
Uttarakhand,Almora,6.0,Clear,50,3.6,2025-01-23 23:15:00
Uttarakhand,Bageshwar,6.0,Clear,50,3.6,2025-01-23 23:15:00
Uttarakhand,Chamoli,-8.0,Clear,58,12.6,2025-01-23 23:15:00
Uttarakhand,Champawat,11.9,Clear,50,9.0,2025-01-23 23:15:00
Uttarakhand,Dehradun,10.9,Clear,44,7.2,2025-01-23 23:15:00
Uttarakhand,Haridwar,12.1,Clear,42,5.8,2025-01-23 23:15:00
Uttarakhand,Nainital,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Uttarakhand,Pauri Garhwal,12.9,Clear,39,10.4,2025-01-23 23:15:00
Uttarakhand,Pithoragarh,6.9,Clear,61,5.8,2025-01-23 23:15:00
Uttarakhand,Rudraprayag,6.8,Clear,52,3.6,2025-01-23 23:15:00
West Bengal,Alipurduar,27.0,Sunny,61,3.6,2025-01-23 11:45:00
West Bengal,Bankura,19.1,Clear,50,5.4,2025-01-23 23:15:00
West Bengal,Birbhum,27.0,Sunny,61,3.6,2025-01-23 11:45:00
West Bengal,Burdwan,19.0,Clear,52,6.8,2025-01-23 23:15:00
West Bengal,Cooch Behar,17.8,Clear,64,3.6,2025-01-23 23:15:00
West Bengal,Dakshin Dinajpur,17.7,Clear,49,6.8,2025-01-23 23:45:00
West Bengal,Hooghly,19.0,Mist,88,7.6,2025-01-23 23:15:00
West Bengal,Howrah,19.0,Mist,88,5.8,2025-01-23 23:15:00
West Bengal,Jalpaiguri,17.3,Clear,68,3.6,2025-01-23 23:15:00
West Bengal,Jhargram,19.4,Clear,75,8.3,2025-01-23 23:15:00
Andaman and Nicobar Islands,Nicobar,27.2,Light rain shower,80,27.7,2025-01-23 23:15:00
Andaman and Nicobar Islands,North and Middle Andaman,27.2,Light rain shower,80,27.7,2025-01-23 23:15:00
Andaman and Nicobar Islands,South Andaman,27.2,Light rain shower,80,27.7,2025-01-23 23:15:00
Chandigarh,Chandigarh,12.1,Clear,40,9.0,2025-01-23 23:15:00
Dadra and Nagar Haveli and Daman and Diu,Daman,21.2,Clear,42,11.9,2025-01-23 23:15:00
Dadra and Nagar Haveli and Daman and Diu,Diu,18.8,Clear,35,17.6,2025-01-23 23:15:00
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,21.2,Clear,42,11.9,2025-01-23 23:15:00
Lakshadweep,Aminidivi,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Lakshadweep,Androth,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Lakshadweep,Bithra,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Lakshadweep,Kalapeni,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Lakshadweep,Kavaratti,27.4,Clear,72,10.1,2025-01-23 23:15:00
Lakshadweep,Minicoy,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Lakshadweep,Suheli,27.0,Sunny,61,3.6,2025-01-23 11:45:00
Delhi,Central Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,East Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,New Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,North Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,North East Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,North West Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,Shahdara,15.3,Mist,72,9.7,2025-01-23 23:15:00
Delhi,South Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,South East Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Delhi,South West Delhi,15.3,Mist,72,9.4,2025-01-23 23:15:00
Puducherry,Karaikal,23.9,Patchy rain nearby,77,13.7,2025-01-23 23:15:00
Puducherry,Mahe,23.6,Clear,89,7.2,2025-01-23 23:15:00
Puducherry,Puducherry,23.5,Partly Cloudy,76,13.3,2025-01-23 23:15:00
Puducherry,Yanam,19.4,Clear,86,3.6,2025-01-23 23:15:00
Andhra Pradesh,Anantapur,24.1,Sunny,42,20.9,2025-01-22 00:00:00
Andhra Pradesh,Chittoor,21.2,Sunny,73,12.6,2025-01-22 00:00:00
Andhra Pradesh,East Godavari,23.2,Sunny,65,14.4,2025-01-22 00:00:00
Andhra Pradesh,Guntur,22.4,Sunny,70,18.7,2025-01-22 00:00:00
Andhra Pradesh,Krishna,22.7,Sunny,74,14.8,2025-01-22 00:00:00
Andhra Pradesh,Kurnool,24.8,Sunny,39,21.6,2025-01-22 00:00:00
Andhra Pradesh,Prakasam,24.7,Sunny,72,17.6,2025-01-22 00:00:00
Andhra Pradesh,Srikakulam,22.5,Sunny,63,15.8,2025-01-22 00:00:00
Andhra Pradesh,Visakhapatnam,24.1,Sunny,59,13.7,2025-01-22 00:00:00
Andhra Pradesh,Vizianagaram,22.4,Sunny,59,14.8,2025-01-22 00:00:00
Arunachal Pradesh,Tawang,-0.5,Sunny,43,16.9,2025-01-22 00:00:00
Arunachal Pradesh,West Kameng,26.3,Sunny,35,11.2,2025-01-22 00:00:00
Arunachal Pradesh,East Kameng,26.3,Sunny,35,11.2,2025-01-22 00:00:00
Arunachal Pradesh,Papum Pare,28.7,Sunny,25,7.9,2025-01-22 00:00:00
Arunachal Pradesh,Kurung Kumey,-7.1,Light snow,78,41.8,2025-01-22 00:00:00
Arunachal Pradesh,Kra Daadi,27.3,Partly cloudy,52,29.9,2025-01-22 00:00:00
Arunachal Pradesh,Lower Subansiri,-12.7,Sunny,56,11.9,2025-01-22 00:00:00
Arunachal Pradesh,Upper Subansiri,20.1,Sunny,77,12.2,2025-01-22 00:00:00
Arunachal Pradesh,West Siang,21.8,Sunny,32,8.3,2025-01-22 00:00:00
Arunachal Pradesh,East Siang,21.8,Sunny,32,8.3,2025-01-22 00:00:00
Assam,Baksa,20.2,Sunny,48,9.7,2025-01-22 00:00:00
Assam,Barpeta,20.1,Sunny,52,5.8,2025-01-22 00:00:00
Assam,Biswanath,23.4,Sunny,41,10.8,2025-01-22 00:00:00
Assam,Bongaigaon,20.0,Sunny,47,8.3,2025-01-22 00:00:00
Assam,Cachar,24.7,Sunny,72,17.6,2025-01-22 00:00:00
Assam,Charaideo,24.7,Sunny,72,17.6,2025-01-22 00:00:00
Assam,Chirang,5.1,Sunny,63,10.8,2025-01-22 00:00:00
Assam,Darrang,19.7,Sunny,49,6.1,2025-01-22 00:00:00
Assam,Dhemaji,18.8,Sunny,46,7.6,2025-01-22 00:00:00
Assam,Dhubri,20.3,Sunny,50,7.2,2025-01-22 00:00:00
Bihar,Araria,19.7,Sunny,46,10.1,2025-01-22 00:00:00
Bihar,Arwal,18.7,Sunny,46,16.2,2025-01-22 00:00:00
Bihar,Aurangabad,23.5,Sunny,25,10.8,2025-01-22 00:00:00
Bihar,Banka,18.9,Sunny,49,16.2,2025-01-22 00:00:00
Bihar,Begusarai,18.3,Sunny,50,15.1,2025-01-22 00:00:00
Bihar,Bhagalpur,18.9,Sunny,49,16.2,2025-01-22 00:00:00
Bihar,Bhojpur,18.5,Sunny,37,15.8,2025-01-22 00:00:00
Bihar,Buxar,18.6,Sunny,45,15.1,2025-01-22 00:00:00
Bihar,Darbhanga,18.7,Sunny,48,15.5,2025-01-22 00:00:00
Bihar,East Champaran,23.2,Sunny,65,14.4,2025-01-22 00:00:00
Chhattisgarh,Balod,22.9,Sunny,24,11.9,2025-01-22 00:00:00
Chhattisgarh,Baloda Bazar,23.5,Sunny,26,11.2,2025-01-22 00:00:00
Chhattisgarh,Balrampur,18.4,Sunny,42,16.9,2025-01-22 00:00:00
Chhattisgarh,Bastar,22.2,Sunny,23,5.8,2025-01-22 00:00:00
Chhattisgarh,Bemetara,23.5,Sunny,26,11.2,2025-01-22 00:00:00
Chhattisgarh,Bijapur,25.4,Sunny,26,16.2,2025-01-22 00:00:00
Chhattisgarh,Bilaspur,22.8,Sunny,30,10.8,2025-01-22 00:00:00
Chhattisgarh,Dantewada,24.7,Sunny,72,17.6,2025-01-22 00:00:00
Chhattisgarh,Dhamtari,22.9,Sunny,24,11.9,2025-01-22 00:00:00
Chhattisgarh,Durg,23.7,Sunny,21,8.6,2025-01-22 00:00:00
