state,district,average_annual_rainfall,average_temperature,average_humidity
ODISHA,NUAPADA,1197.4,19.37040157404953,51.673764245958125
ODISHA,MALKANGIRI,1572.7,19.37040157404953,51.673764245958125
ODISHA,NABARANGPUR,1660.5,19.37040157404953,51.673764245958125
ODISHA,NAYAGARH,1450.1,19.37040157404953,51.673764245958125
ODISHA,KHURDA,1469.5,19.37040157404953,51.673764245958125
ODISHA,BARGARH,1264.9,19.37040157404953,51.673764245958125
ODISHA,JHARSUGUDA,1474.3,19.37040157404953,51.673764245958125
ODISHA,DEOGARH,1533.5,19.37040157404953,51.673764245958125
ODISHA,RAYAGADA,1326.9,19.37040157404953,51.673764245958125
ODISHA,GAJAPATI,1462.1,19.37040157404953,51.673764245958125
ODISHA,JAGATSINGHPUR,1565.0,19.37040157404953,51.673764245958125
ODISHA,BOUDH,1448.3,19.37040157404953,51.673764245958125
ODISHA,SUBARNAPUR,1395.4,19.37040157404953,51.673764245958125
JHARKHAND,BOKARO,1247.5,18.0,42.0
JHARKHAND,DHANBAD,1355.2,19.0,40.0
JHARKHAND,DUMKA,1381.5,17.2,44.0
JHARKHAND,HAZARIBAG,1196.0,19.58,43.025
JHARKHAND,PALAMU,1095.9,19.58,43.025
JHARKHAND,RANCHI,1403.2,19.58,43.025
JHARKHAND,SAHIBGANJ,1553.7,19.58,43.025
JHARKHAND,WEST SINGHBHUM,1305.6,19.58,43.025
JHARKHAND,DEOGHAR,1162.1,17.4,46.0
JHARKHAND,GIRIDIH,1252.7,18.0,43.0
JHARKHAND,GODDA,1144.4,15.7,52.0
JHARKHAND,GUMLA,1421.3,16.3,48.0
JHARKHAND,LOHARDAGA,1197.1,19.58,43.025
JHARKHAND,CHATRA,1171.9,15.4,54.0
JHARKHAND,KODERMA,1116.2,19.58,43.025
JHARKHAND,PAKUR,1612.4,19.58,43.025
JHARKHAND,EAST SINGHBHUM,1292.7,19.58,43.025
JHARKHAND,GARHWA,1041.8,17.2,54.0
JHARKHAND,SERAIKELA KHARSAWAN,1359.6,19.58,43.025
JHARKHAND,JAMTARA,1476.0,19.58,43.025
JHARKHAND,LATEHAR,1191.5,19.58,43.025
JHARKHAND,SIMDEGA,1573.1,19.58,43.025
JHARKHAND,KHUNTI,1482.8,19.58,43.025
JHARKHAND,RAMGARH,1248.3,19.58,43.025
BIHAR,BHAGALPUR,1207.9,15.3,55.0
BIHAR,EAST CHAMPARAN,1197.7,19.4,86.0
BIHAR,DARBHANGA,1123.6,14.8,54.0
BIHAR,GAYA,1003.9,18.442500000000003,50.575
BIHAR,MUNGER,1146.8,18.442500000000003,50.575
BIHAR,MUZAFFARPUR,1154.5,18.442500000000003,50.575
BIHAR,WEST CHAMPARAN,1472.0,18.442500000000003,50.575
BIHAR,PURNEA,1598.2,18.442500000000003,50.575
BIHAR,GOPALGANJ,1135.5,18.442500000000003,50.575
BIHAR,MADHUBANI,1293.3,18.442500000000003,50.575
BIHAR,AURANGABAD,974.9,21.3,73.0
BIHAR,BEGUSARAI,1090.7,14.5,57.0
BIHAR,BHOJPUR,1051.5,14.2,47.0
BIHAR,NALANDA,1002.2,18.442500000000003,50.575
BIHAR,PATNA,1074.8,18.442500000000003,50.575
BIHAR,KATIHAR,1342.7,18.442500000000003,50.575
BIHAR,KHAGARIA,1233.9,18.442500000000003,50.575
BIHAR,SARAN,1123.8,18.442500000000003,50.575
BIHAR,MADHEPURA,1392.7,18.442500000000003,50.575
BIHAR,NAWADA,1041.8,18.442500000000003,50.575
BIHAR,ROHTAS,949.1,18.442500000000003,50.575
BIHAR,SAMASTIPUR,1192.3,18.442500000000003,50.575
BIHAR,SITAMARHI,1293.1,18.442500000000003,50.575
BIHAR,SIWAN,1135.4,18.442500000000003,50.575
BIHAR,VAISHALI,1176.5,18.442500000000003,50.575
BIHAR,JAHANABAD,936.6,18.442500000000003,50.575
BIHAR,BUXAR,975.4,15.3,62.0
BIHAR,ARARIA,1632.2,15.8,52.0
BIHAR,BANKA,1054.5,15.7,52.0
BIHAR,KAIMUR,1126.3,18.442500000000003,50.575
BIHAR,JAMUI,1107.3,18.442500000000003,50.575
BIHAR,KISHANGANJ,2090.6,18.442500000000003,50.575
BIHAR,SHEIKHPURA,1008.4,18.442500000000003,50.575
BIHAR,SUPAUL,1273.8,18.442500000000003,50.575
BIHAR,LAKHISARAI,1146.8,18.442500000000003,50.575
BIHAR,SHEOHAR,1293.1,18.442500000000003,50.575
BIHAR,ARWAL,874.4,15.2,94.0
BIHAR,SAHARSA,1692.9,18.442500000000003,50.575
UTTAR PRADESH,ALLAHABAD,902.6,17.3,51.0
UTTAR PRADESH,AZAMGARH,1058.3,15.5,54.0
UTTAR PRADESH,BAHRAICH,1148.6,16.0,60.0
UTTAR PRADESH,BALLIA,928.2,17.6875,46.45
UTTAR PRADESH,BANDA,943.2,17.6875,46.45
UTTAR PRADESH,BARABANKI,1055.4,17.6875,46.45
UTTAR PRADESH,BASTI,1062.7,17.6875,46.45
UTTAR PRADESH,DEORIA,1087.0,17.6875,46.45
UTTAR PRADESH,FAIZABAD,1114.0,17.6875,46.45
UTTAR PRADESH,FARRUKHABAD,853.3,17.6875,46.45
UTTAR PRADESH,FATEHPUR,915.2,17.6875,46.45
UTTAR PRADESH,GHAZIPUR,995.8,17.6875,46.45
UTTAR PRADESH,GONDA,1160.1,17.6875,46.45
UTTAR PRADESH,GORAKHPUR,1338.3,17.6875,46.45
UTTAR PRADESH,HARDOI,918.2,17.6875,46.45
UTTAR PRADESH,JAUNPUR,968.1,17.6875,46.45
UTTAR PRADESH,KANPUR NAGAR,806.4,17.6875,46.45
UTTAR PRADESH,LAKHIMPUR KHERI,1085.3,17.6875,46.45
UTTAR PRADESH,LUCKNOW,885.3,17.6875,46.45
UTTAR PRADESH,MIRZAPUR,1003.2,17.6875,46.45
UTTAR PRADESH,PRATAPGARH,943.6,17.6875,46.45
UTTAR PRADESH,RAE BARELI,853.0,17.6875,46.45
UTTAR PRADESH,SITAPUR,1003.3,17.6875,46.45
UTTAR PRADESH,SULTANPUR,944.5,17.6875,46.45
UTTAR PRADESH,UNNAO,907.2,17.6875,46.45
UTTAR PRADESH,VARANASI,1037.6,17.6875,46.45
UTTAR PRADESH,SONBHADRA,1025.1,17.6875,46.45
UTTAR PRADESH,MAHARAJGANJ,1389.1,17.6875,46.45
UTTAR PRADESH,MAU,1121.3,17.6875,46.45
UTTAR PRADESH,SIDDHARTHNAGAR,1145.7,17.6875,46.45
UTTAR PRADESH,KUSHINAGAR,1326.6,17.6875,46.45
UTTAR PRADESH,AMBEDKAR NAGAR,1013.3,16.6,52.0
UTTAR PRADESH,KANNAUJ,902.3,17.6875,46.45
UTTAR PRADESH,BALRAMPUR,1247.9,17.6875,46.45
UTTAR PRADESH,KAUSHAMBI,861.7,17.6875,46.45
UTTAR PRADESH,SANT RAVIDAS NAGAR,986.3,17.6875,46.45
UTTAR PRADESH,KANPUR DEHAT,857.2,17.6875,46.45
UTTAR PRADESH,CHANDAULI,949.6,17.6875,46.45
UTTAR PRADESH,SANT KABIR NAGAR,1110.6,17.6875,46.45
UTTAR PRADESH,SANT RAVIDAS NAGAR,949.6,17.6875,46.45
UTTAR PRADESH,SHRAVASTI,1148.6,17.6875,46.45
UTTAR PRADESH,AGRA,774.6,15.0,56.0
UTTAR PRADESH,ALIGARH,771.0,15.8,43.0
UTTAR PRADESH,BAREILLY,996.6,17.6875,46.45
UTTAR PRADESH,BIJNOR,1083.1,17.6875,46.45
UTTAR PRADESH,BADAUN,884.8,17.6875,46.45
UTTAR PRADESH,BULANDSHAHAR,779.0,17.6875,46.45
UTTAR PRADESH,ETAH,714.4,17.6875,46.45
UTTAR PRADESH,ETAWAH,829.6,17.6875,46.45
UTTAR PRADESH,HAMIRPUR,881.8,17.6875,46.45
UTTAR PRADESH,JALAUN,871.5,17.6875,46.45
UTTAR PRADESH,JHANSI,931.5,17.6875,46.45
UTTAR PRADESH,LALITPUR,1034.6,17.6875,46.45
UTTAR PRADESH,MAINPURI,748.4,17.6875,46.45
UTTAR PRADESH,MATHURA,655.9,17.6875,46.45
UTTAR PRADESH,MEERUT,918.0,17.6875,46.45
UTTAR PRADESH,MORADABAD,992.9,17.6875,46.45
UTTAR PRADESH,MUZAFFARNAGAR,869.1,17.6875,46.45
UTTAR PRADESH,PILIBHIT,1155.4,17.6875,46.45
UTTAR PRADESH,RAMPUR,1057.6,17.6875,46.45
UTTAR PRADESH,SAHARANPUR,963.9,17.6875,46.45
UTTAR PRADESH,SHAHJAHANPUR,1010.8,17.6875,46.45
UTTAR PRADESH,GHAZIABAD,766.3,17.6875,46.45
UTTAR PRADESH,FIROZABAD,765.5,17.6875,46.45
UTTAR PRADESH,MAHOBA,853.1,17.6875,46.45
UTTAR PRADESH,HATHRAS,710.8,17.6875,46.45
UTTAR PRADESH,AURAIYA,811.9,16.0,65.0
UTTAR PRADESH,BAGPAT,646.1,17.6875,46.45
UTTAR PRADESH,AMROHA,917.4,17.6875,46.45
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,669.3,17.6875,46.45
UTTAR PRADESH,KASGANJ,818.4,17.6875,46.45
UTTARAKHAND,ALMORA,1157.3,19.37040157404953,51.673764245958125
UTTARAKHAND,CHAMOLI,1267.0,19.37040157404953,51.673764245958125
UTTARAKHAND,DEHRADUN,2123.9,19.37040157404953,51.673764245958125
UTTARAKHAND,PAURI GARHWAL,1464.0,19.37040157404953,51.673764245958125
UTTARAKHAND,NAINITAL,1743.7,19.37040157404953,51.673764245958125
UTTARAKHAND,PITHORAGARH,2098.0,19.37040157404953,51.673764245958125
UTTARAKHAND,TEHRI GARHWAL,1385.0,19.37040157404953,51.673764245958125
UTTARAKHAND,UTTARKASHI,1625.7,19.37040157404953,51.673764245958125
UTTARAKHAND,HARIDWAR,1143.9,19.37040157404953,51.673764245958125
UTTARAKHAND,CHAMPAWAT,1623.9,19.37040157404953,51.673764245958125
UTTARAKHAND,RUDRAPRAYAG,2150.9,19.37040157404953,51.673764245958125
UTTARAKHAND,UDHAM SINGH NAGAR,1313.9,19.37040157404953,51.673764245958125
UTTARAKHAND,BAGESHWAR,1157.3,19.37040157404953,51.673764245958125
HARYANA,AMBALA,1104.7,12.3,42.0
HARYANA,GURGAON,544.0,17.307499999999997,41.825
HARYANA,HISAR,401.4,14.4,36.0
HARYANA,JIND,509.1,13.0,38.0
HARYANA,KARNAL,714.4,17.307499999999997,41.825
HARYANA,MAHENDRAGARH,476.2,17.307499999999997,41.825
HARYANA,ROHTAK,618.0,17.307499999999997,41.825
HARYANA,BHIWANI,419.5,14.1,37.0
HARYANA,FARIDABAD,697.6,15.0,72.0
HARYANA,KURUKSHETRA,691.4,17.307499999999997,41.825
HARYANA,SIRSA,313.5,17.307499999999997,41.825
HARYANA,SONIPAT,644.2,17.307499999999997,41.825
HARYANA,YAMUNANAGAR,1107.0,17.307499999999997,41.825
HARYANA,KAITHAL,466.5,11.9,41.0
HARYANA,PANIPAT,624.1,17.307499999999997,41.825
HARYANA,REWARI,492.2,17.307499999999997,41.825
HARYANA,FATEHABAD,364.6,13.4,40.0
HARYANA,JHAJJAR,489.0,15.0,72.0
HARYANA,PANCHKULA,1148.2,17.307499999999997,41.825
HARYANA,MEWAT,572.0,17.307499999999997,41.825
HARYANA,PALWAL,508.1,17.307499999999997,41.825
CHANDIGARH,CHANDIGARH,1070.6,12.1,40.0
DELHI,NEW DELHI,747.1,15.3,72.0
DELHI,CENTRAL DELHI,747.1,15.3,72.0
DELHI,EAST DELHI,747.1,15.3,72.0
DELHI,NORTH DELHI,747.1,15.3,72.0
DELHI,NE DELHI,747.1,17.6375,45.325
DELHI,SW DELHI,747.1,17.6375,45.325
DELHI,NW DELHI,747.1,17.6375,45.325
DELHI,SOUTH DELHI,747.1,15.3,72.0
DELHI,WEST DELHI,747.1,17.6375,45.325
PUNJAB,AMRITSAR,721.7,10.3,82.0
PUNJAB,BATHINDA,407.9,27.0,61.0
PUNJAB,FEROZEPUR,455.6,11.4,32.0
PUNJAB,GURDASPUR,1112.5,10.4,41.0
PUNJAB,HOSHIARPUR,933.1,11.1,43.0
PUNJAB,JALANDHAR,719.1,10.6,38.0
PUNJAB,KAPURTHALA,568.0,15.7725,38.95
PUNJAB,LUDHIANA,685.6,15.7725,38.95
PUNJAB,PATIALA,752.0,15.7725,38.95
PUNJAB,RUPNAGAR,956.5,15.7725,38.95
PUNJAB,SANGRUR,557.4,15.7725,38.95
PUNJAB,FARIDKOT,415.6,11.6,32.0
PUNJAB,MOGA,460.6,15.7725,38.95
PUNJAB,SHAHID BHAGAT SINGH NAGAR,1005.6,15.7725,38.95
PUNJAB,FATEHGARH SAHIB,683.1,15.7725,38.95
PUNJAB,MUKTSAR,399.5,15.7725,38.95
PUNJAB,MANSA,419.8,15.7725,38.95
PUNJAB,BARNALA,449.4,10.9,37.0
PUNJAB,SAS NAGAR,818.7,15.7725,38.95
PUNJAB,TARN TARAN,449.2,15.7725,38.95
HIMACHAL PRADESH,BILASPUR,1197.2,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,CHAMBA,1997.1,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,KANGRA,2019.8,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,KINNAUR,836.4,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,KULLU,1088.1,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,LAHAUL AND SPITI,1248.8,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,MANDI,1506.9,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,HAMIRPUR,1428.2,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,SHIMLA,1041.4,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,SIRMAUR,1618.3,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,SOLAN,1366.2,19.37040157404953,51.673764245958125
HIMACHAL PRADESH,UNA,1110.7,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,ANANTNAG,969.6,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,BARAMULLA,1132.0,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,DODA,1335.5,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,JAMMU,1211.3,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,KATHUA,1268.2,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,LEH,94.6,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,UDHAMPUR,1973.9,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,BUDGAM,671.7,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,KUPWARA,1132.7,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,PULWAMA,504.6,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,SRINAGAR,673.6,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,KARGIL,223.3,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,POONCH,1474.1,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,RAJOURI,957.2,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,BANDIPORE,700.4,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,GANDERWAL,673.6,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,KULGAM,878.9,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,SHOPIAN,818.7,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,SAMBA,1211.3,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,KISHTWAR,1335.5,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,REASI,1796.5,19.37040157404953,51.673764245958125
JAMMU AND KASHMIR,RAMBAN,1328.4,19.37040157404953,51.673764245958125
RAJASTHAN,BARMER,268.6,15.9,29.0
RAJASTHAN,BIKANER,274.0,16.4,33.0
RAJASTHAN,CHURU,369.6,17.1,32.0
RAJASTHAN,SRI GANGANAGAR,252.9,19.86,42.55
RAJASTHAN,JAISALMER,181.2,19.86,42.55
RAJASTHAN,JALORE,427.1,19.86,42.55
RAJASTHAN,JODHPUR,308.1,19.86,42.55
RAJASTHAN,NAGAUR,394.1,19.86,42.55
RAJASTHAN,PALI,485.7,19.86,42.55
RAJASTHAN,HANUMANGARH,301.6,19.86,42.55
RAJASTHAN,AJMER,462.2,15.3,35.0
RAJASTHAN,ALWAR,630.9,14.1,43.0
RAJASTHAN,BANSWARA,883.0,18.3,41.0
RAJASTHAN,BHARATPUR,621.1,19.86,42.55
RAJASTHAN,BHILWARA,630.2,14.2,33.0
RAJASTHAN,BUNDI,705.6,15.2,35.0
RAJASTHAN,CHITTORGARH,765.3,27.0,61.0
RAJASTHAN,DUNGARPUR,677.8,19.86,42.55
RAJASTHAN,JAIPUR,577.2,19.86,42.55
RAJASTHAN,JHALAWAR,920.2,19.86,42.55
RAJASTHAN,JHUNJHUNU,481.0,19.86,42.55
RAJASTHAN,KOTA,807.9,19.86,42.55
RAJASTHAN,SAWAI MADHOPUR,721.0,19.86,42.55
RAJASTHAN,SIKAR,463.8,19.86,42.55
RAJASTHAN,SIROHI,913.4,19.86,42.55
RAJASTHAN,TONK,613.9,19.86,42.55
RAJASTHAN,UDAIPUR,639.7,19.86,42.55
RAJASTHAN,DHOLPUR,722.1,19.86,42.55
RAJASTHAN,BARAN,852.7,17.0,67.0
RAJASTHAN,DAUSA,674.8,19.86,42.55
RAJASTHAN,RAJSAMAND,554.5,19.86,42.55
RAJASTHAN,KARAULI,696.2,19.86,42.55
RAJASTHAN,PRATAPGARH,915.3,19.86,42.55
MADHYA PRADESH,BETUL,1028.8,19.1,47.0
MADHYA PRADESH,VIDISHA,1084.8,20.77,40.725
MADHYA PRADESH,BHIND,763.4,16.8,60.0
MADHYA PRADESH,DATIA,860.2,20.77,40.725
MADHYA PRADESH,DEWAS,1031.4,20.77,40.725
MADHYA PRADESH,DHAR,886.1,20.77,40.725
MADHYA PRADESH,GUNA,1028.3,20.77,40.725
MADHYA PRADESH,GWALIOR,885.9,20.77,40.725
MADHYA PRADESH,NARMADAPURAM,1392.2,20.77,40.725
MADHYA PRADESH,INDORE,917.3,20.77,40.725
MADHYA PRADESH,JHABUA,812.8,20.77,40.725
MADHYA PRADESH,MANDSAUR,850.1,20.77,40.725
MADHYA PRADESH,MORENA,777.0,20.77,40.725
MADHYA PRADESH,EAST NIMAR,940.0,20.77,40.725
MADHYA PRADESH,WEST NIMAR,826.9,20.77,40.725
MADHYA PRADESH,RAISEN,1200.5,20.77,40.725
MADHYA PRADESH,RAJGARH,966.7,20.77,40.725
MADHYA PRADESH,RATLAM,947.8,20.77,40.725
MADHYA PRADESH,SEHORE,1152.6,20.77,40.725
MADHYA PRADESH,SHAJAPUR,949.4,20.77,40.725
MADHYA PRADESH,SHIVPURI,859.4,20.77,40.725
MADHYA PRADESH,UJJAIN,905.7,20.77,40.725
MADHYA PRADESH,BHOPAL,1087.7,16.9,61.0
MADHYA PRADESH,HARDA,1128.3,20.77,40.725
MADHYA PRADESH,NEEMUCH,813.8,20.77,40.725
MADHYA PRADESH,SHEOPUR,791.9,20.77,40.725
MADHYA PRADESH,BARWANI,701.2,20.3,35.0
MADHYA PRADESH,ASHOKNAGAR,926.7,20.77,40.725
MADHYA PRADESH,BURHANPUR,889.1,20.8,42.0
MADHYA PRADESH,ALIRAJPUR,863.6,20.77,40.725
MADHYA PRADESH,BALAGHAT,1481.6,19.6,34.0
MADHYA PRADESH,CHHATARPUR,1081.4,17.7,61.0
MADHYA PRADESH,CHHINDWARA,1021.6,20.77,40.725
MADHYA PRADESH,JABALPUR,1192.4,20.77,40.725
MADHYA PRADESH,MANDLA,1397.0,20.77,40.725
MADHYA PRADESH,NARSINGHPUR,1146.4,20.77,40.725
